标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
实在没法走了，请帮忙解决我们村的硬板路问题,已办理,三农 求助,匿***,2017-04-2110:27,各位领导，您好！我是云县大寨镇文丰村大村组的。村子有一条土路到今天已经走了18年，镇上给过很多硬板路方面的项目，但不知何故，村子至今都没修上硬板路。土路是1999年全村挖的，2009年国家给项目修硬板路，该项目的硬板路覆盖是全村，但实际上只修了下村的，村里人到村公所和乡政府去反应过很多次，但由于上面没人，最后什么答复也没给。据了解，当时给的项目是包含全村通硬板路的，但是最后修路只修了一半（上村人家最多的地方却没修路）。大村组（上村）硬板路的项目费用哪去了？难道修路只给下半个村修不给上半个村修？难道都没人来核实是否项目达标吗？另外，2013年，政府还给过硬板路的维修项目，但是也没大村组什么事。大村组在籍户口40多户，人口180多人，0-14岁及大于60岁人口比例达80%以上。主要的经济来源是茶叶和外出务工，人均年收入不足1000元。靠村子自己实在没能力修路。村子青壮年常年在外，用到路的基本的都是村子里面的老弱病残人群。在此，希望恳请领导帮忙查明为何出现大村组这种情况，并帮助修建一条能走的硬板路。希望各位领导能看到并帮忙解决，感谢！感谢！感谢！,中共临沧市委办公室,各位领导，您好！我是云县大寨镇文丰村大村组的。村子有一条土路到今天已经走了18年，镇上给过很多硬板路方面的项目，但不知何故，村子至今都没修上硬板路。土路是1999年全村挖的，2009年国家给项目修硬板路，该项目的硬板路覆盖是全村，但实际上只修了下村的，村里人到村公所和乡政府去反应过很多次，但由于上面没人，最后什么答复也没给。据了解，当时给的项目是包含全村通硬板路的，但是最后修路只修了一半（上村人家最多的地方却没修路）。大村组（上村）硬板路的项目费用哪去了？难道修路只给下半个村修不给上半个村修？难道都没人来核实是否项目达标吗？另外，2013年，政府还给过硬板路的维修项目，但是也没大村组什么事。大村组在籍户口40多户，人口180多人，0-14岁及大于60岁人口比例达80%以上。主要的经济来源是茶叶和外出务工，人均年收入不足1000元。靠村子自己实在没能力修路。村子青壮年常年在外，用到路的基本的都是村子里面的老弱病残人群。在此，希望恳请领导帮忙查明为何出现大村组这种情况，并帮助修建一条能走的硬板路。希望各位领导能看到并帮忙解决，感谢！感谢！感谢！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
西门巷棚户区改造什么时候进行？,已办理,城建 咨询,匿***,2017-04-0910:14,尊敬的杨书记你好！我是临翔区西门巷的居民，我想咨询下成们西门巷这片的棚户区改造要什么时候进行？,中共临沧市委办公室,尊敬的杨书记你好！我是临翔区西门巷的居民，我想咨询下成们西门巷这片的棚户区改造要什么时候进行？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
关于云县澜沧江广场项目的问题,已办理,城建 投诉,匿***,2017-04-0719:40,杨书记，您好！2017年时间过去将近一半了，可澜沧江广场项目的工地上仍然空无一人。请问杨书记，我们什么时候能住进自己的房子？,中共临沧市委办公室,杨书记，您好！2017年时间过去将近一半了，可澜沧江广场项目的工地上仍然空无一人。请问杨书记，我们什么时候能住进自己的房子？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
云南澜沧江酒业集团澜沧江广场项目烂尾问题,已办理,城建 投诉,匿***,2017-04-0107:13,杨书记，您好！我是云县澜沧江广场的业主，自该项目停工以来，相关单位自始至终都没有对何时复工何时交房做一个正式的说明，各种消息更是满天飞。我们不断的向市县相关部门反映该问题，得到的答案除了开会还是开会，工地上却依旧空无一人，一点实质性的进展都没有，政府的公信力何在？！这三年来，我们已经被欺骗的太多次了，请杨书记还我们一个公道！,中共临沧市委办公室,杨书记，您好！我是云县澜沧江广场的业主，自该项目停工以来，相关单位自始至终都没有对何时复工何时交房做一个正式的说明，各种消息更是满天飞。我们不断的向市县相关部门反映该问题，得到的答案除了开会还是开会，工地上却依旧空无一人，一点实质性的进展都没有，政府的公信力何在？！这三年来，我们已经被欺骗的太多次了，请杨书记还我们一个公道！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
关于云县澜沧江广场烂尾问题,已办理,城建 求助,匿***,2017-04-0107:04,尊敬的杨书记您好！我是澜沧江烂尾楼业主之一，无奈之下向您哭诉。说好的14年10月1日交房，现如今已近三年，计划好做婚房，我儿子都两岁多了还没住上，如今依然租住在几十平方的小房子里，每个月要还高额的贷款，每个月付着不少的房租，生活步履维艰。我们多次寻求政府的帮助都无结果。无奈之下只能求助于杨书记您，只希望杨书记能还我们一个公道!,中共临沧市委办公室,尊敬的杨书记您好！我是澜沧江烂尾楼业主之一，无奈之下向您哭诉。说好的14年10月1日交房，现如今已近三年，计划好做婚房，我儿子都两岁多了还没住上，如今依然租住在几十平方的小房子里，每个月要还高额的贷款，每个月付着不少的房租，生活步履维艰。我们多次寻求政府的帮助都无结果。无奈之下只能求助于杨书记您，只希望杨书记能还我们一个公道!,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
云南澜沧江酒业集团地产项目烂尾问题,已办理,城建 投诉,匿***,2017-03-3107:15,杨书记，您好！我是云县澜沧江广场的业主，这个项目的问题，想必您也了解了.我在这里想问的是，难道政府还在袒护这么一个资不抵债、毫无诚信的企业，任由他们肆意欺骗政府和我们这些业主？我们的耐心已经被消磨的差不多了！我们什么时候才能住进我们自己的房子？请杨书记还我们一个公道！,中共临沧市委办公室,杨书记，您好！我是云县澜沧江广场的业主，这个项目的问题，想必您也了解了.我在这里想问的是，难道政府还在袒护这么一个资不抵债、毫无诚信的企业，任由他们肆意欺骗政府和我们这些业主？我们的耐心已经被消磨的差不多了！我们什么时候才能住进我们自己的房子？请杨书记还我们一个公道！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
澜沧江酒业集团地产项目烂尾问题,已办理,城建 投诉,匿***,2017-03-3008:22,杨书记，您好！我是云县澜沧江广场的业主，这个项目的问题，想必您也了解了.我在这里想问的是，难道政府还在袒护这么一个资不抵债、毫无诚信的企业，任由他们肆意欺骗政府和我们这些业主？！我们的耐心已经被消磨的差不多了！我们什么时候才能住进我们自己的房子？请杨书记还我们一个公道！,中共临沧市委办公室,杨书记，您好！我是云县澜沧江广场的业主，这个项目的问题，想必您也了解了.我在这里想问的是，难道政府还在袒护这么一个资不抵债、毫无诚信的企业，任由他们肆意欺骗政府和我们这些业主？！我们的耐心已经被消磨的差不多了！我们什么时候才能住进我们自己的房子？请杨书记还我们一个公道！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
再提临沧批发市场以路为市问题,已办理,城建 建言,匿***,2017-03-3006:21,尊敬的杨书记：    本人于2016年12月22日提了“临沧批发市场以路为市问题”的建议，得到了有关部门的回复，非常感谢有关部门的重视。但本人还有不满意的地方，再提一次：    1.有关部门说那里属“临时性蔬菜交易集散地”，可据我了解，已经临时了起码5-6年了。    2.南天路和旗山路是临沧室内的主干道，目前，那里依然是下午五点多就停满各种车辆，水泄不通，晚上九点十点更是寸步难行，我观察了好几天，就没见什么部门去管，仍然那么堵，那么无序！    3.再有，紧靠批发市场的旗山路路段，白天也停满了各种微型车、拖拉机等营运车辆，我看也划了停车位，可不明白为什么临沧室内很多划了停车位的地方都有收费，而那里不收？那些营运车辆的车主，在等生意的空闲时间，一群一群的聚在路边赌博，影响了临沧城市形象。,中共临沧市委办公室,尊敬的杨书记：    本人于2016年12月22日提了“临沧批发市场以路为市问题”的建议，得到了有关部门的回复，非常感谢有关部门的重视。但本人还有不满意的地方，再提一次：    1.有关部门说那里属“临时性蔬菜交易集散地”，可据我了解，已经临时了起码5-6年了。    2.南天路和旗山路是临沧室内的主干道，目前，那里依然是下午五点多就停满各种车辆，水泄不通，晚上九点十点更是寸步难行，我观察了好几天，就没见什么部门去管，仍然那么堵，那么无序！    3.再有，紧靠批发市场的旗山路路段，白天也停满了各种微型车、拖拉机等营运车辆，我看也划了停车位，可不明白为什么临沧室内很多划了停车位的地方都有收费，而那里不收？那些营运车辆的车主，在等生意的空闲时间，一群一群的聚在路边赌博，影响了临沧城市形象。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
云县澜沧江广场烂尾,已办理,城建 投诉,匿***,2017-03-2808:02,杨书记，您好！我们是云县澜沧江广场的业主，我们一次又一次的向市县相关部门反应这个问题，相关单位却一次又一次的考验我们的耐心。这一次又无一例外，再一次被忽悠了。我们请问杨书记，尽快是多久？迅速是多长时间？云县鸿济地产有限公司在工商行政管理局的营业期限至2018年，请问是不是托到这个公司关门？请杨书记给我们一个答案！,中共临沧市委办公室,杨书记，您好！我们是云县澜沧江广场的业主，我们一次又一次的向市县相关部门反应这个问题，相关单位却一次又一次的考验我们的耐心。这一次又无一例外，再一次被忽悠了。我们请问杨书记，尽快是多久？迅速是多长时间？云县鸿济地产有限公司在工商行政管理局的营业期限至2018年，请问是不是托到这个公司关门？请杨书记给我们一个答案！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
幼儿园伙食费管理咨询,已办理,教育 咨询,匿***,2017-03-2517:06,凤庆县第一幼儿园伙食费问题？幼儿园说学生请假连续5天才退伙食费，那么请假4天就不退？那么请问学生的伙食费被幼儿园吞了？,中共临沧市委办公室,凤庆县第一幼儿园伙食费问题？幼儿园说学生请假连续5天才退伙食费，那么请假4天就不退？那么请问学生的伙食费被幼儿园吞了？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
希望澜沧江广场尽快建成,已办理,城建 建言,匿***,2017-03-2512:39,杨书记，您好！我也是澜沧江广场的业主，澜沧江广场建设项目一拖再拖，澜沧江酒业集团的信益在各个领域都已经相当不好，涉及到的地区之广，受害者民众之多，可能估量不出，目前要把这个项目的重建工作寄托他们，我个人是觉得没有希望。当初找星凯地产合作等等一系列举措，大多与利益有关，为什么就不能找实力强点的企业合作，我们临沧人民曾经引以为傲的企业，却害苦了这么多百姓，此刻，不管用什么途径，希望有一个解决问题的方案，让我们能睡一个安稳的觉，真的等得太久太久了…谢谢杨书记,中共临沧市委办公室,杨书记，您好！我也是澜沧江广场的业主，澜沧江广场建设项目一拖再拖，澜沧江酒业集团的信益在各个领域都已经相当不好，涉及到的地区之广，受害者民众之多，可能估量不出，目前要把这个项目的重建工作寄托他们，我个人是觉得没有希望。当初找星凯地产合作等等一系列举措，大多与利益有关，为什么就不能找实力强点的企业合作，我们临沧人民曾经引以为傲的企业，却害苦了这么多百姓，此刻，不管用什么途径，希望有一个解决问题的方案，让我们能睡一个安稳的觉，真的等得太久太久了…谢谢杨书记,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
云县天马KTV隔音太差,已办理,文娱 投诉,匿***,2017-03-2416:01,云县天马娱乐城隔音太差，营业期间从19:00-02:00无法入睡，晚上天马背后云海阳光小区面朝娱乐城的住户要等到凌晨两点停止营业后才能入睡，对住户影响太大，望有关部门给予干预帮忙处理为谢,中共临沧市委办公室,云县天马娱乐城隔音太差，营业期间从19:00-02:00无法入睡，晚上天马背后云海阳光小区面朝娱乐城的住户要等到凌晨两点停止营业后才能入睡，对住户影响太大，望有关部门给予干预帮忙处理为谢,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
临沧卡蒙特拖欠社保,已办理,就业 求助,匿***,2017-03-2409:22,尊敬的杨书记！     您好！      我是临沧卡蒙特的一名员工，卡蒙特从2013年3月开始拖欠保险，至今已经停产近3年（从2014年10月开始停产），社保一直拖在哪里不交清，导致我们的保险无法转出，生病住院还得自己掏钱，我们已多次找到临沧市人社局及相关单位，但他们都在相互推诿，不给解决，而且卡蒙特现在改成“永奇服饰”还在继续经营，法人是原卡蒙特总经理（赵国强）！我们一点希望也看不到，还请书记帮帮我们！谢谢！~,中共临沧市委办公室,尊敬的杨书记！     您好！      我是临沧卡蒙特的一名员工，卡蒙特从2013年3月开始拖欠保险，至今已经停产近3年（从2014年10月开始停产），社保一直拖在哪里不交清，导致我们的保险无法转出，生病住院还得自己掏钱，我们已多次找到临沧市人社局及相关单位，但他们都在相互推诿，不给解决，而且卡蒙特现在改成“永奇服饰”还在继续经营，法人是原卡蒙特总经理（赵国强）！我们一点希望也看不到，还请书记帮帮我们！谢谢！~,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
云县澜沧江广场到底烂尾到什么时候,已办理,城建 投诉,匿***,2017-03-1009:32,尊敬的杨书记： 您好！我们是云县澜沧江广场的业主，面对相关部门以及开发商一次一次的承诺和一次又一次的食言，我们想问，这个项目到底要烂尾到什么时候？请杨书记给我们一个比较确切的答复，谢谢！,中共临沧市委办公室,尊敬的杨书记： 您好！我们是云县澜沧江广场的业主，面对相关部门以及开发商一次一次的承诺和一次又一次的食言，我们想问，这个项目到底要烂尾到什么时候？请杨书记给我们一个比较确切的答复，谢谢！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
关于临翔区百树广场收取停车费的问题,已办理,其他 投诉,匿***,2017-03-1008:16,杨书记：您好！我是生活、工作在临翔区的一名普通市民，今天想向您反映的是关于临翔区百树广场收取停车费的问题。我的孩子在百树广场旁的市幼儿园上学，我每天必须开车接送她上下学，因为周边还有三所学校，每到孩子上下学期间，学校旁的路段就非常拥挤，加上那个路段也没有停车位，我们就只能把车停在百树广场内。之前百树广场贴出公告规定：早上9点至晚上11点免费停车20分钟，超出20分钟按每小时3元收费。可实际实施起来却是只要一停车不计时间就要收费。其实我们占用停车位的时间不会太长，只要一接送完孩子马上就会开车走的，希望领导能支持我们这个诉求，希望百树广场能遵守之前的停车费收取的规定。,临沧市书记市长信箱,杨书记：您好！我是生活、工作在临翔区的一名普通市民，今天想向您反映的是关于临翔区百树广场收取停车费的问题。我的孩子在百树广场旁的市幼儿园上学，我每天必须开车接送她上下学，因为周边还有三所学校，每到孩子上下学期间，学校旁的路段就非常拥挤，加上那个路段也没有停车位，我们就只能把车停在百树广场内。之前百树广场贴出公告规定：早上9点至晚上11点免费停车20分钟，超出20分钟按每小时3元收费。可实际实施起来却是只要一停车不计时间就要收费。其实我们占用停车位的时间不会太长，只要一接送完孩子马上就会开车走的，希望领导能支持我们这个诉求，希望百树广场能遵守之前的停车费收取的规定。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
烂尾楼问题,已办理,城建 投诉,匿***,2017-03-1008:03,尊敬的杨书记： 您好！我们是云县澜沧江广场的业主，该项目自停工以来，市县领导换了一个又一个，请问杨书记，您是不是想让它在您的任期内继续烂尾下去？,中共临沧市委办公室,尊敬的杨书记： 您好！我们是云县澜沧江广场的业主，该项目自停工以来，市县领导换了一个又一个，请问杨书记，您是不是想让它在您的任期内继续烂尾下去？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
扰民投诉,已办理,环保 投诉,匿***,2017-02-1713:42,杨书记你好！我是沧源县一个普通市民，家住公租房，我们公租房旁边有个ktv迪厅，每晚都吵到半夜2点，实在是影响我们休息，我家里有老人又带病，真的严重影响我们的生活与老人的健康，我本是普通百姓投诉无门，只有向书记你诉说苦衷，希望能得到解决，我相信政府一定会帮助我们这些平民百姓的，谢谢,中共临沧市委办公室,杨书记你好！我是沧源县一个普通市民，家住公租房，我们公租房旁边有个ktv迪厅，每晚都吵到半夜2点，实在是影响我们休息，我家里有老人又带病，真的严重影响我们的生活与老人的健康，我本是普通百姓投诉无门，只有向书记你诉说苦衷，希望能得到解决，我相信政府一定会帮助我们这些平民百姓的，谢谢,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
关于云县啤酒节城内多个路段设停车费,已办理,交通 咨询,匿***,2017-02-1305:26,书记.你好.这几天是云县一年一度的啤酒节.云县在多个路段设置停车收费.甚至是设卡收费.对此.设置禁止停车路段对于啤酒节的安全以及交通我认为是好的.但有些路段没禁止停车.却收费.收费金额甚至高达40块.还有的路段明明已经设有警戒线.但隔警戒线差不多300米的地方又设置往前停车收费区域.我觉得.这些公共地方.设置禁停是正确的.但设有收费的公共区域不合理而且严重影响我们云县的城市形象.且.设置收费路段不能出示收费证明.感觉自己是不是被骗了.望能给一个清晰的了解,中共临沧市委办公室,书记.你好.这几天是云县一年一度的啤酒节.云县在多个路段设置停车收费.甚至是设卡收费.对此.设置禁止停车路段对于啤酒节的安全以及交通我认为是好的.但有些路段没禁止停车.却收费.收费金额甚至高达40块.还有的路段明明已经设有警戒线.但隔警戒线差不多300米的地方又设置往前停车收费区域.我觉得.这些公共地方.设置禁停是正确的.但设有收费的公共区域不合理而且严重影响我们云县的城市形象.且.设置收费路段不能出示收费证明.感觉自己是不是被骗了.望能给一个清晰的了解,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
工作调动咨询,已办理,就业 咨询,匿***,2017-02-0602:21,你好！我是一名乡镇公务员，在乡镇服务满5年。目前和妻子两地分居。多年来在乡镇工作亏欠家庭过多，未很好履行尽孝的社会责任。申请调回临沧市临翔主城区工作。请问怎么办理手续。谢谢,中共临沧市委办公室,你好！我是一名乡镇公务员，在乡镇服务满5年。目前和妻子两地分居。多年来在乡镇工作亏欠家庭过多，未很好履行尽孝的社会责任。申请调回临沧市临翔主城区工作。请问怎么办理手续。谢谢,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
我们何时能领取到那点微薄的薪水、社保！,已办理,就业 求助,匿***,2017-02-0413:54,我是一名永德康伟集团的员工，公司拖欠我们五险一金两年多，工资一年多。我们员工也多次去县政府反应问题过,中共临沧市委办公室,我是一名永德康伟集团的员工，公司拖欠我们五险一金两年多，工资一年多。我们员工也多次去县政府反应问题过,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
临沧康德物流服务公司,已办理,企业 求助,匿***,2017-02-0410:18,杨书记：云南永德糖业集团、云南康伟生物有限公司、临沧康德物流服务有限公司三家企业均由永德糖业集团改制后组建！企业转型升级的成本代价太大，加之受糖市影响，三家公司债务交叉，现在除水业公司尚能发放工资外，其他的子公司已经十五个月没有发放工资，涉及到蔗农、银行、一千多职工、民间借款等等系列问题，已经对社会稳定造成严重的隐患！目前依靠企业自身已经无法自救，只能在市委市政府县委县政府等的领导下进行重组，方能治本，彻底解决企业存在的问题！,中共临沧市委办公室,杨书记：云南永德糖业集团、云南康伟生物有限公司、临沧康德物流服务有限公司三家企业均由永德糖业集团改制后组建！企业转型升级的成本代价太大，加之受糖市影响，三家公司债务交叉，现在除水业公司尚能发放工资外，其他的子公司已经十五个月没有发放工资，涉及到蔗农、银行、一千多职工、民间借款等等系列问题，已经对社会稳定造成严重的隐患！目前依靠企业自身已经无法自救，只能在市委市政府县委县政府等的领导下进行重组，方能治本，彻底解决企业存在的问题！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
精准确扶贫,已办理,其他 求助,匿***,2017-02-0408:15,尊敬的领导你好，我是云县大朝山菖蒲塘村委结坝组村民，本人在2014年时村上说我被评为贫困户，原因是刚结婚，由于是弟兄两人本来家贫，才有一间底下做牛圈上面住人，因生活所迫在2015年9月份上昆明打工，至过年才回家，回家后才听说有建档立卡户建房有各种优惠补助，本人由于不在家在初选时被删除，但当时根本没有村或镇领导通知我，我才打工4个多月，根据国家精准扶贫政策中说要离家4年以上才能算不在家可删除，有的人家一家人有多个户口子女长期在外面打工收入稳定反而是贫困户，望领导帮忙查下精准扶贫中的贫困户做假问题，还有有关系不贫也可以做贫困户浪费国家资源，没有关系贫困的反而成了有钱人。后本人到镇上咨询建房还有两万补助，本人觉得有两万补助房子建小点可以够买砖买沙石料了，于是借遍亲戚，和在信用社贷款十万建房，现在房是建了，说好的补助什么的没拿到，配套设施舍也没钱买了没钱整了，就没法入住，本来趁政策脱贫，现在是贫上加贫，贫得没法再贫了，生活都没出路了，图片是住房和厨房。,中共临沧市委办公室,尊敬的领导你好，我是云县大朝山菖蒲塘村委结坝组村民，本人在2014年时村上说我被评为贫困户，原因是刚结婚，由于是弟兄两人本来家贫，才有一间底下做牛圈上面住人，因生活所迫在2015年9月份上昆明打工，至过年才回家，回家后才听说有建档立卡户建房有各种优惠补助，本人由于不在家在初选时被删除，但当时根本没有村或镇领导通知我，我才打工4个多月，根据国家精准扶贫政策中说要离家4年以上才能算不在家可删除，有的人家一家人有多个户口子女长期在外面打工收入稳定反而是贫困户，望领导帮忙查下精准扶贫中的贫困户做假问题，还有有关系不贫也可以做贫困户浪费国家资源，没有关系贫困的反而成了有钱人。后本人到镇上咨询建房还有两万补助，本人觉得有两万补助房子建小点可以够买砖买沙石料了，于是借遍亲戚，和在信用社贷款十万建房，现在房是建了，说好的补助什么的没拿到，配套设施舍也没钱买了没钱整了，就没法入住，本来趁政策脱贫，现在是贫上加贫，贫得没法再贫了，生活都没出路了，图片是住房和厨房。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
凤庆旧城大街真的要改造吗？,已办理,城建 求助,匿***,2017-01-1515:41,领导你好，不知道我们凤庆旧城街改造的文件下了没？又过了一年了，每次去批准建证只给个临时的，原因是我们这里要古城改建，可是这个消息早在10年前就已经有了，要过年了，房子又破又烂，都没脸带女朋友回家，哎，老父亲也年近八十了，我们做儿子的不孝，不知道能不能在他有生之年让他住上新房子，希望领导能体谅一下我的心情，能关注一下我们的旧城街建设。在此谢谢领导！,中共临沧市委办公室,领导你好，不知道我们凤庆旧城街改造的文件下了没？又过了一年了，每次去批准建证只给个临时的，原因是我们这里要古城改建，可是这个消息早在10年前就已经有了，要过年了，房子又破又烂，都没脸带女朋友回家，哎，老父亲也年近八十了，我们做儿子的不孝，不知道能不能在他有生之年让他住上新房子，希望领导能体谅一下我的心情，能关注一下我们的旧城街建设。在此谢谢领导！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
临沧狂犬病威胁,已办理,医疗 建言,匿***,2017-01-0910:22,孙书记您好，我作为一名疾控工作者，对临沧狂犬病疫情深感忧虑。临沧地处西南一直处于狂犬病传统疫区之中，临沧历史上经历过多次灭狗行动，近些年均有零星病例发生。随着经济高度发展，临沧养犬之风盛行，市民养犬素质不高，缺乏对犬只约束管理，不按规定接种疫苗办理狗证，流浪狗过多，相关部门对犬只管理严重滞后不严格执行相关规定。造成了我市狗患严重的问题。疫情猛于虎，还望书记给予重视。,中共临沧市委办公室,孙书记您好，我作为一名疾控工作者，对临沧狂犬病疫情深感忧虑。临沧地处西南一直处于狂犬病传统疫区之中，临沧历史上经历过多次灭狗行动，近些年均有零星病例发生。随着经济高度发展，临沧养犬之风盛行，市民养犬素质不高，缺乏对犬只约束管理，不按规定接种疫苗办理狗证，流浪狗过多，相关部门对犬只管理严重滞后不严格执行相关规定。造成了我市狗患严重的问题。疫情猛于虎，还望书记给予重视。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
临沧市教育学院一条街酒吧夜市的噪音严重扰民,已办理,环保 求助,匿***,2017-01-0309:37,尊敬的孙青友书记：我们是一名普通的老百姓，住在临沧市临翔区世纪路。世纪路临沧教育学院门口一条街上多为酒吧和夜市，一到晩上酒吧里和夜市里就传出嘈杂的、音量超大分贝的各种唱歌声和音乐声，其中：缅临夜市和夜航船酒吧尤为突出，已经严重影响到周围住户的正常生活和休息，学生学习和老年人休息受到影响。经投诉环保、城建和公安等部门等未果，情况依旧没有改变。市委、市政府及临翔区委、区政府提倡的共建大美临沧，不仅是自然环境美、城乡建设美，人居环境美也应该美，希望孙书记能为我们作主，请有关部门加强对夜间噪音污染的治理和规范管理，让我们的人居环境也越来越越美。,中共临沧市委办公室,尊敬的孙青友书记：我们是一名普通的老百姓，住在临沧市临翔区世纪路。世纪路临沧教育学院门口一条街上多为酒吧和夜市，一到晩上酒吧里和夜市里就传出嘈杂的、音量超大分贝的各种唱歌声和音乐声，其中：缅临夜市和夜航船酒吧尤为突出，已经严重影响到周围住户的正常生活和休息，学生学习和老年人休息受到影响。经投诉环保、城建和公安等部门等未果，情况依旧没有改变。市委、市政府及临翔区委、区政府提倡的共建大美临沧，不仅是自然环境美、城乡建设美，人居环境美也应该美，希望孙书记能为我们作主，请有关部门加强对夜间噪音污染的治理和规范管理，让我们的人居环境也越来越越美。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
小黑江勐省公路改造完工时间到底要到什么时候？,已办理,交通 咨询,匿***,2016-12-3015:11,有一回在地方领导留言板上看见书记领导对小勐线工期的答复，说是年底基本完工。但现在这条路还是走不成，往四排山路走，车多，特别是大车，路烂伤了。前一久沧源机场已开通，但这条路完工时间好像还看不到头。领导说的和实际的不一样，到底要哪个时候通呀！？拉点东西做生意真的太不容易了！！,中共临沧市委办公室,有一回在地方领导留言板上看见书记领导对小勐线工期的答复，说是年底基本完工。但现在这条路还是走不成，往四排山路走，车多，特别是大车，路烂伤了。前一久沧源机场已开通，但这条路完工时间好像还看不到头。领导说的和实际的不一样，到底要哪个时候通呀！？拉点东西做生意真的太不容易了！！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
腾达公司文林秋苑交房二次房贷今年怎么解决,已办理,城建 咨询,匿***,2016-12-2415:24,书记，你好！我是一名在腾达公司文林秋苑买房的，文林秋苑想必你也知道，在这我想问问关于交房时间和二次房贷政府要怎么解决。,中共临沧市委办公室,书记，你好！我是一名在腾达公司文林秋苑买房的，文林秋苑想必你也知道，在这我想问问关于交房时间和二次房贷政府要怎么解决。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
