标题,状态,领域,用户名,时间,内容
上海电信用户已有两个月看不到央视3、5套节目,中国电信股份有限公司上海分公司,金融 求助,z***,2018-08-0208:52,"上海电信给用户以有线电视套餐，以住都能看到央视节目，但两个月前突然看不到央视的3套和5套节目了，而且打出的屏幕是说因央视要求。打电话询问，他们也没有给出令人信服的解释。现在亚运会在即，央视5套转播的节目电信用户就都看不到了。似乎是因为没有给央视转播的钱款，央视不再让其转播。但问题是，我们在买受电信服务时，央视全套节目都可以看到,而且我们很喜欢看3套和5套的节目。上海电信如此做法实际上是对广大用户的单方面的不履行合同。请书记让有关方面管一管，不要助长强势的上海电信随意侵犯消费者的利益。谢谢！"
我要求助,待回复,城建 求助,S***,2018-08-0208:15,我是静安区80号地块，（海防路306号）动迁的居民，现搬迁至青浦区尚泰路，动迁协议有动迁户将户口迁出原户口的每户可奖励2万元人民币，我于2017年办好产证并迁出了户口，当时只认为该钱已一并打入动迁款了，后听邻居说要去动组办理的，这样我去了动迁组，但被告知过期了，我怎么解释都无济于事，没办法我于7月20日去了上海市政府信访办，进行求助，7月31日收到静安区住房保障和房屋管理局的回执，被告知不予受理，尊敬的领导：我是一个孤老快70的老人了，膝下无儿无女，且没有劳保，每月领取高龄纳保养老金930元，生活比较紧迫，没有特殊情况是不可能放弃这笔款项的，2万元相当我两年养老金，所以我只有恳请领导能给于帮助。
LMG超级天然气管道旁28户居民的诉求,待回复,政务 投诉,S***,2018-08-0119:38,我们是原芦潮港镇长期定居的居民，房屋坐落在原芦潮港镇老水闸西首，东起杭湾路362号，西至南芦公路，南首远征村一组，北首芦五公路南，共约28户。所住房屋基本上都是1986年左右建成的老式楼房。由于当年经济条件所限，所建房屋的质量较差，普遍存在地基松软不实、结构简单不固，房屋距今都已是40年左右的房龄。令人意外的是，2007年至2008年间，天然气公司在我们的房前地下铺设了一条超级LMG高压天然气管道，距离我们的房屋只有5米到15米左右的距离。此工程的开展，当时拆迁了一部分的居民住宅和小区楼房，却将我们住宅前仅有的一条排水支河给填埋了。之后的10年里，直到现在，我们就一直面临水涝的灾害。每年的梅雨季、汛期及台风天气，只要下雨到一定的水量，我们的房屋就会被淹，严重的几次，室内水位直没脚踝。更糟糕的是，由于排水河沟被填埋，雨水就久久不能退去，我们所居之地一片泽国，全凭自然蒸发，室内家具被浸泡，霉气熏天，抑或天气炎热，滋生蚊虫疫情。每一次的水淹给我们这些居民带来百般煎熬，给我们的正常生活造成极大的困扰、不便和困难！并且，由于房屋时常浸泡在水中，一些房屋墙体开裂，已成危房，随时会有人员被压伤压死的潜在事故发生！这条超级LMG太燃气管道离居民住宅太近。按照中华人民共和国天然气保护条例明确规定，凡在管线两侧各50米范围内，不准有住宅、学校、工厂等。而当初埋设该管道时，我们却不知情，也没有安排我们搬迁。今年的6月7日，不知哪个部门叫来一辆挖土机进行开挖施工，与居民发生争执，双方闹到当地派出所。天然气公司的代表也来到现场，说不能开挖，有爆炸的危险，并透露：我们这片房屋早在当时的天然气工程拆迁中已经纳入拆迁范围，且拆迁款项早已经支付给委托拆迁的当地政府。可是距今已经10年了，现在又说没有征地拆迁，那这笔钱干什么去了？用到了哪里？而我们这些居民却天天与一颗定时炸弹做邻居，终日惶惶，不得安宁。想当年天津港化工仓库发生的特大爆炸事故，殃及周边数公里，给国家和人民造成重大损失，影响恶劣。声犹在耳，前车之鉴啊！以上所述，句句实情，请各级人民政府领导和相关部门领导核实调查，设身处地的为百姓着想：为我们百姓排忧解难，帮助我们尽早远离这个危险之地，确保人民生命财产安全，给我们百姓营造一个幸福安逸的生活环境。更希望各级领导本着“不忘初心，牢记使命”，真正地为人民服务，为百姓谋福利的原则，尽早尽快的解决此事！
美丽家园，怎么变成 尽有的绿草地变成停车场了,待回复,城建 求助,龙***,2018-08-0113:35,我是龙柏六村59-62楼居民，前2年刚换了新的物业。去年59-62楼的一大块绿草地树，改为停车场.这几天又开始，小区大门口到2栋大楼的绿地要做停车场。小区大部分是老人居住，早晨出来，老人们聚在一起，帮我们投诉吧。以后我们乘凉的地方都没有了。本来这个老小区绿化很少，为什么还要做停车场。说是我们小区停车不够，可是6村物业在，6村门口紫藤路和白樟路中间很长的大马路全部做了停车场，外人也接停车。 汽车肯定是越来越多，可是不能以前留下的一点点的绿地变成停车场。上次123456投诉说，美丽家园工程小区居民已经都同意了。老百姓希望的美丽家园不是绿地改为停车场。望领导给予解决，谢谢！
上海纽顿美容仪器设备有限公司静安分公司欺诈,待回复,医疗 投诉,好***,2018-08-0112:45,您好，28号我在上海纽顿买了一个脱毛套餐。在等待过程中，治疗师给我推荐了手臂脱毛，我明确表示不需要，治疗师说给我先体验一下，结果体验完了之后要收费。治疗师问我什么时候付清剩下的2.1万（6+3的疗程），这属于商业欺诈，另外可能还构成了强迫交易罪。治疗师完全在我不知情需要付费的情况下给我做了服务，在我体验之前完全没有告知我需付钱。另外一次体验价格是1万多，全手臂脱毛的价格总的疗程才2.1万，这属于欺诈客人。我要求工商局消费者权益保护科出面查处商家，退还我的款项。
唐小僧诈骗,待回复,金融 求助,彦***,2018-08-0112:41,书记，您好我是一名北京普通公民，我和家人共投资了唐小僧平台41万，目前老板已经跑路，十几年积攒的积蓄一下子没了，实在难以接受这样的现实，我们各种信访维权，无丝毫效果，万般无奈，请求书记为我们做主！要回血汗钱！
金葵路945弄小区，违规改变房屋结构出租,待回复,政务 投诉,川***,2018-08-0111:13,几乎所有房东，违规改变房屋结构，所谓的二室一厅，三室一厅等完全看不出来了，他们增加隔断，变成更多间数，甚至捣毁承重墙进行改造，这样的房屋出租给来沪就业人员，存在极大安全隐患。希望监管局对每户房屋结构进行核对，打击违法改造，进行惩罚。
请书记明察,待回复,金融 投诉,s***,2018-08-0110:13,我是上海合盘金服理财服务有限公司的出借人。 7月23日发布良性清盆的公告，其实只是个幌子，缓兵之计，有关负责人早已携款出逃，数亿资产就这么被这帮黑心人吞食，这已成为当今社会不稳定因素，请书记抽出宝贵时间，关心这一社会突出的民生问题，还老百姓一个健康的金融生态环境，还老百姓失去的血汗钱！
请为民做主,待回复,金融 投诉,W***,2018-08-0110:10,尊敬的领导:        我是上海聚财猫平台的受害人，7月18日平台出事，我们的钱都在里面无法返回，这是我们全家的家底啊，请领导出面救我们于水深火热之中！
我要求助，,待回复,城建 求助,S***,2018-08-0109:55,   我是静安区80号地块动迁的居民，动迁有原户口迁出，每户奖励2万元人民币的规定。我户口迁出了，但没有领到该笔款项，动迁组说我超过了领款时间，可我当时确实没有注意到有这条规定，我是一个70岁的无儿无女的孤老，且没有劳保，每月由政府发给930元的养老金现在是一身的毛病也不敢就医。李书记：我是实在没办法的情况下只能麻烦您了，望您能在百忙之中抽点时间替我解决一下。
投诉普陀区上海远成物流发展有限公司,待回复,交通 投诉,你***,2018-08-0109:50,4月份通过远成快运安徽省滁州市加盟代理点退回网上购的柜子，保价1000元，运费270元，卖家收到货后是异常签收的，因为货物破损了，我又支付了1500左右的费用给卖家，卖家才重新给我换了一个柜子，现在要求滁州远成快运赔偿，但是滁州远成说加盟代理点不负责赔偿，都是统一由上海远成总公司统一赔的，但是打了客服电话4001681111.(这个客服电话好像是四川的）从四月份到现在一直没解决，7月23号和7月31号再次拨打电话，依然没有解决，请求帮助解决。不要求全部赔偿，按照保价赔即可，另外请退回运费270元，谢谢！
火理财骗跑群众血汗钱，百姓跪求帮助,待回复,金融 求助,李***,2018-08-0109:29,尊敬的李书记，您好。我是陕西省汉中的平民2018年7月16日，火理财（上海潇谦互联网金融信息服务有限公司）APP突然公告称实控人失联跑路，从此我原本和睦的家庭陷入了危机。我在这家合法的p2p平台出借了16万元（夫妻节省多年供孩子上大学的血汗钱和母亲、姐姐的养老钱），原本期望保值，不料血本难归，这对西部经济落后地区的家庭真可谓灭顶之灾。家人寝食难安，亲友反目成仇，我痛不欲生……这是目前千万这样的家庭共同的遭遇。事发半月，警方一直没有消息，近日又听闻有上海出借人因此事自寻短见……面对危机，我们这些弱势群体日夜煎熬，无计可施
优秀历史建筑内违章建筑严重,待回复,城建 投诉,y***,2018-08-0109:00,上海市委书记李强，你好：    反映长宁区虹桥路2258号上海优秀历史建筑——孔家花园门后面，有多处违法建筑——玻璃房。这多处违法建筑——玻璃房不但地影响市容市貌，而且还给上海优秀历史建筑带来了安全隐患，破坏了优秀历史建筑承受能力。    该建筑原为孔祥熙旧居，是中国“四大家族”之一的孔祥熙在上海的度假别墅，建筑建于1934年，于2005年10月31日被上海市人民政府列入“优秀历史建筑”令人心痛的是，这私搭乱建的违法建筑——玻璃房，把原有建筑变了个样。“有关部门到底想不想拆违？优秀历史建筑再不保护就晚了。”    上海市“12345”市民服务热线回复：“您好，您于2018年07月28日提交的诉求已收悉，根据《上海市“12345”市民服务热线办理试行办法》相关规定，您反映的事项不属于市民服务热线的受理范围，专此简复”。    希望市有关执法部门按照“五违四必”精神，尽快依法在国际博览会前拆除这一影响城市形象的违法建筑——玻璃房。
把侵占的土地还给我们老百姓,待回复,三农 求助,或***,2018-07-3110:52,李书记您好，我是嘉定区徐行镇小庙村村民，向你反映从1999年到现在被上海和桥五金冲压件厂侵占，侵占土地有5亩之多建造厂房，村民们向各级有关部门反映也没有解决，我们村民想不通土地证上清清楚楚写的是南村组村民集体所有，可是村民们也拿不回属于自己的土地，恳求李书记替我们全体村民讨回属于我们自己的土地。
公交卡实名制,待回复,交通 建言,悠***,2018-07-3110:08,您好，我是在上海上班的外地人。7.27当天坐公交，公交卡被掉包。我有公交卡的充值记录和完整的卡号。可是我依然不能证明我的卡是我的卡。不支持挂失，冻结，转账。只能眼睁睁的从上海交通卡app里看着别人把我卡里钱一点点刷没。我很心痛。上海作为一个国际大都市，一直都有人跟我说上海的治安非常好。所幸，经常下夜班的我，人身一直很安全。但是公交卡被掉包，一百度比比皆是。连地铁站的工作人员都说有人专门干这种事，让我以后小心点。但是现在的钱就找不回来了。我可以当做花钱买个教训。但是公交卡里的钱也属于公民的私有财产，为什么不能实名认证?为什么要给盗贼机会?这不是纵容吗？让坏人钻漏洞，有机可乘，明目张胆，还不用担心为此受法律制裁，为此被抓。因为公交卡里最多也就会有500块。不够立案。但这也是百姓的血汗钱啊。希望领导重视，能推进上海公交卡实名认证，保障公民财产不受侵犯，让坏人再无可乘之，保障社会公平安全。
收受贿赂,待回复,政务 投诉,W***,2018-07-3013:43,上海鼎城绿化养护有限公司中标为浦锦街道委托市容管理，向浦锦街道报用工人数49人，实际不到20人，用工时间8小时三班制实际上为12小时，无加班费，无五险一金，鼎城绿化养护有限公司未与劳动者签订劳动合同，拖欠工资，对鼎城自己的土方车不予管理
上海怎么了？,待回复,政务 咨询,g***,2018-07-2809:45,聚财猫此前一直以“模范平台”示人，2016年3月当选为上海市互联网金融行业协会(ASIFI)会员，并登上上海互联网金融协会网贷平台信息披露公示首批名单。官网显示，聚CM曾多个奖项，并已对接北京银行存管系统。7月18号出公告表示要进入良性清退，经多位出借人报警后，警方介入调查，法人薛亮得以控制。北京、深圳、杭州、天津等政府都出台了P2P平台退出指引等相关文件，为什么上海市政府、上海市互联网金融协会、上海市奉贤金融办忽略老百姓的诉求，迟迟没有出具相应文件，保护企业进行良性清退工作，保护老百姓的合法权益？上海怎么了？
小诸葛平台用户对维权领头人王勇质疑,待回复,金融 求助,m***,2018-07-2808:56,尊敬的上海李书记：最近四十余天，我们小诸葛平台的用户夜不能寐，食如嚼蜡。6月25日平台遵守兑付方案给了逾期标的2%，并且公告两年内兑付100%本金。但是维权者中灵魂领头人据说新加坡总裁王勇坚决反对并提出一年兑付，首次兑付20%。在P2P雷潮大环境中我们真实用户都能理解并给平台时间的时候，王勇带着众多惊慌失措的用户在一夜之间成立全国各地QQ群中危言耸听不相信平台、不相信上海政府、不相信国家。报案立案后又质疑上海经侦，每日各大QQ群喊着上海三日游、北京吃烤鸭！我无法想象他积极地进入上海经侦群是合居心！今天众多平台用户发现其身份证号码是错误的！请上海父母官明察！如果其人假冒王勇身份，我们居然被一欺世盗名的坏人领导！我们怀疑其身份怀疑他本身就是平台巨额借款人，趁雷潮闹事做着无需归还借款的美梦！侵吞所有拥护的财产。请李书记为我们明察，我们无法忍受被恶人利用，带着我们作出有损国家形象的疯狂举动。不能让湾湾笑话，不能让美美欢腾！我们是中国人！我们爱国爱党！
请问政府如何对待P2P和P2B纷纷跑路事件,待回复,金融 咨询,W***,2018-07-2808:51,我于2016年在上海镭驰金控江西省分公司存入了十多万，该公司承诺每季度返还利息，可到了2017年7月开始不能按承诺返还利息更别说本金的兑现。现在我已经悲伤到了极点，象我这样的人还大有人在，多少家庭处在水生火热之中，此公司远在上海我身在江西，我将如何讨回我的血汗钱啊？我想起政府部门，这些公司批着合法的外衣，有着合法的营业执照，以高于银行利益来吸引儲民把钱存进此总公司，可现在钱拿不出来，一直失信于广大儲民。我个人悲伤之极，所以我抖胆发表一下，请问我们现在该怎么做，广大儲民该怎么做，是否能引起领导们的关注，给我们广大的儲民讨一个说法，救救我们吧！我想到政府职能部门和广大的职能部门的领导，给我们指一条光明大道，让我们儲民脱离苦海，因为我们没有参与投资的行为。救救我们救救我们吧！
聚财猫骗局,待回复,金融 求助,C***,2018-07-2715:41,尊敬的领导你好，我在聚财猫上投资了4笔钱，其中一笔已经到期，但还是迟迟未到账，另外还有3笔没到期，但现在这个平台已经倒闭了，现在不知道该怎么办，只有请政府帮帮我们这群弱势的受害者要回这笔救命钱吧！
请李书记关注上海金银猫非法集资事件,待回复,金融 求助,金***,2018-07-2710:35,尊敬的李书记，您好！我是来自山西长治的一名普通工薪阶层80后，是一名中共党员，同时也是一名上海金银猫非法集资事件的受害者，2018年7月18日上海金银猫清盘，法人自首，随后公司关门，警方立案，短短一星期我承受了太大的打击和压力，因为我在金银猫平台付诸了我的家庭的全部储蓄，29.3407万元，对于一个经济不发达的县城来说这是我十年的积蓄，是我一分一分攒了这么多年攒下来的，本想我的双胞胎二胎出生后把这些钱拿出来在我们县城买个房子，这样我三个孩子就能舒舒服服的成长，但没想到金银猫给我们是当头一棒，我不奢望这些钱全部拿回来，只希望能够把我投入的本金拿回来，真心希望上海市委、市政府和李书记能关注此事，能够帮助我们，严厉打击这些不法分子，尽最大努力帮我们挽回损失。同时我以一名中共党员的荣誉向党保证，绝不非访，绝不给党和国家添麻烦，绝不给我们中共党员丢脸！
联璧金融受害者的权益该怎么办,待回复,金融 投诉,斐***,2018-07-2707:46,尊敬的领导，我是联璧金融的受害者，近期上海出现了这么多金融案件，很多百姓都放了很多钱在里面，斐讯通过0元购来吸引大家买理财产品，现在百姓的救命钱，买房子钱，生活保障的钱都取不出来，生活在水深火热之中。该怎么办啊
建议提高IC行业博士研究生待遇,待回复,教育 建言,w***,2018-07-2610:01,李书记您好：    我是复旦大学微电子专业的博士研究生。博士或者硕士是国家科研的主力军之一，现在每个月的补助加一起也就2000多块钱，对于20多岁的年轻人，家庭的希望来说，明显是太少了。在上海这个城市，勉强够自己的生活费。对于我们IC行业，每天基本都是早9晚11，一年到头假期基本也没有几天，所以特别希望书记可以照顾一下这个领域，照顾一下国内这个新兴行业，可以让博士研究生们无经济之忧，专心科研。国外的IC博士们，薪资基本都在2000美刀左右，虽然我们不奢望我们可以拿到这么多补助，但是还是希望能够提高博士研究生待遇，不要让我们身心俱疲，谢谢。祝好！
虹桥机场改造工地生活区停水停电,待回复,就业 投诉,小***,2018-07-2609:11,书记你好！我是虹桥机场噪声改造工地的一名普通女工人！工地上没有男女厕所，男女浴室之分不说！现在这么大热的天气时不时的停电！每次下班回来水都供应不了！时常造成停水的状态！去总包的办公楼接水！不让接水！居然还说工地上没有女的来干活！难道女的就不是人了吗？难道工地上就没有女的吗？
公交车司乘人员内部沟通为何会影响乘客听觉环境,待回复,交通 投诉,迟***,2018-07-2608:08,"书记,你好!    最近乘坐多条有司乘人员搭班的公交线路,发现他们在传递信息时候的内部沟通,均采取用检票钳敲打桌案的现象。如此有节奏、滋扰、中强度的噪音，实在打扰乘客安宁。和售票员交涉，听其说是公交公司的硬性规定。我能理解司乘人员工作性质，但是是否可以令其改变如此滋扰乘客的方式，采用合理的内部沟通方式，还车厢于文明。毕竟，公交车辆和公交司乘人员的服务方式也应成为城市的一道风景。"
松江恒大帝景质量问题，监管不作为,待回复,城建 投诉,毛***,2018-07-2515:58,恒大2017年12月31日突击交房，说是拎包入住，精装房。我本着改善住房的本意，购买恒大9A级装潢施工的房子。但从交房到现在至今，房子墙体发霉，卫生间漏水。这些问题到现在还没彻底解决。没有书面解决方案，施工方案。恒大人员对业主是拖时间，用胶水掩盖漏水问题。造成业主浪费很多时间和精力。主要反应恒大及监管部门不作为。怎么通过验收的，怎么能交房。
投靠户口,待回复,政务 投诉,方***,2018-07-2514:06,      夫妻投靠，结婚10年多了，报户口落户难，窗口有规定落户口可以用法院明确产权归属的判决书凭证，这样的好政策为什么我的外来媳妇不能享受？家庭是有矛盾，需要化解的，可用法院明确房产权利归属判决书落户口
滴滴出租车,待回复,交通 投诉,寒***,2018-07-2510:05,李书记您好，我是一名学生，昨天坐火车到上海南已经是夜晚了。我准备坐一辆出租车回昆山，然后一名叫江xx的司机说200块钱送我回家，上车时他说介不介意再带三个人，我说不介意，然后他带了另外一家三口上车，先把他们送到了宝山区然后问我要三百块钱，说送我回昆山，我说这里离我的目的地差很远，而且之前讲好的200块钱，他说你要么给我三百，要么下车，没办法我把我身上仅剩的160块钱和支付宝40块钱给了他，把我丢在宝山区还辱骂我。
聚财猫坑人太深了,待回复,金融 投诉,聚***,2018-07-2411:48,上海裕乾金融信息服务有限公司欠钱不还，该到账的款项都没有到，属于金融诈骗，还我们投资人的血汗钱
聚财猫恶意圈钱,待回复,金融 求助,乐***,2018-07-2411:48,17号大肆宣传 18号凌晨宣布逾期良性退出  一周过去得不到任何进展  几百万出借人心已滴血 民不聊生
如何定性聚财猫，何时可以开通支付通道？,待回复,金融 求助,从***,2018-07-2411:48,我从广告里看到这个平台合规，就只投这一个平台，现在平台停止运行了，所有钱都拿不出了，影响我的生活。李书记帮帮我，怎么办？
聚财猫拿走多年积攒的钱，是准备给孩子读书用的,待回复,金融 求助,莯***,2018-07-2411:39,书记，求求您帮帮忙！我和孩子感谢您了！是给孩子读书用的....
聚财猫事件,待回复,金融 投诉,聚***,2018-07-2411:39,请政府监督，让企业尽快给出还款方案，不要一直拖下去。
上海斐讯借用联璧金融平台欺诈百姓,待回复,金融 咨询,W***,2018-07-2410:34,我们通过购买上海斐讯借用移动联通电信京东苏宁平台以“0”元购路由器诱导我们购买路由器并且绑定联璧金融软件，并且想多购买路由器必须在联璧金融网站上进行5000元以上的充值投资！当时在联璧金融网站上和微信公众号上可以清晰查询到上海斐讯公司对上海联璧公司的担保函！说会对联璧金融进行无限连带责任承担！（我上传图片可见）而如今投资的钱到期之后无法正常提现，现在上海斐讯声明撇清与联璧金融平台一切合作关系，实属客户自愿行为！当初宣传时并未提及风险提示和风险告知我们！我们实属诱导被骗！现在上海松江区经侦只是简单将上海联璧立案，但并未对实质的幕后经营者和获利者进行立案调查！反而让他利用新的骏合金融平台金融重蹈覆辙进行第二次诈骗！上海经侦人员服务态度极差态度蛮横无理！上海政府是否坐视不理包庇上海斐讯继续在社会上招摇撞骗下去呢？我们人民需要一个明确的公平公正公开的答复和解决办法！
聚财猫欠钱不还,待回复,金融 求助,唯***,2018-07-2316:21,聚财猫欠钱不还，请帮帮我。都是辛哭打工挣来的钱
职财猫披着合法外衣，吞了百姓500亿血汗钱,待回复,金融 投诉,糟***,2018-07-2315:55,2016年开始在聚财猫上投资，18号聚财猫宣布因借款方无力还款，还款逾期，公司宣布良性退出，我全部46万积蓄一夜蒸发！敦促上海奉贤警方尽快查案，帮400万借款人追回500亿血汗钱，让借款人不要慌慌不可终日，让400万家庭恢复合谐平静。谢谢
聚财猫骗我活命钱，没有活路了，求求救救我吧！,待回复,金融 投诉,燕***,2018-07-2315:52,聚财猫网贷平台于2018年7月18日关闭停运，我的53万出借款无法收回了，是家里的全部积蓄啊！我又没工作，家里小孩要读书，房子要还贷款，真是无法面对家人。
要求聚财猫CEO亮归还投资人的钱,待回复,金融 求助,安***,2018-07-2314:23,书记你好！去年开始我在聚财猫上投资，18号聚财猫宣布因借款方无力还款，还款逾期，公司宣布良性退出，辛辛苦苦存的积蓄还在里面没出来呢！求书记重视，让有关部门帮我们把血汗钱追回来！谢谢
工作居住了7年，可是无法证明自己居住在这里！,待回复,政务 投诉,艰***,2018-07-2314:23,李书记，我一直想问一个问题，我们这些在上海工作奉献居住这么多年的青年人，要如何才能证明自己居住在上海呢？办理一个居住证明为何这么难？房东不配合，中介不配合，我要如何去办理居住证呢？租客作为弱势群体，求爷爷告奶奶有用吗？一方面政府要求必须要有居住证明才能办理居住证，另一方面却不对房东业主中介施加强制措施，这真的是为人民服务吗？这分明是懒政，堕政！建议把居住证明改为工作证明，由各个公司开具！让租客去向房东讨要房产证办理居住证明的条例就是故意设置障碍，刻意给人民群众制造门槛，居心不良，更是逼着外来青年人离开上海！别忘了，上海的发展正是靠着我们这些一批又一批的有梦想的青年人来支撑的，如果我们都失望的离开了，上海，也就不再是上海了！
汶水路红星美凯龙广场夜间广场舞、乐器扰民,待回复,文娱 投诉,安***,2018-07-2216:52,您好：我之前也给您留过言关于上海市沪太路汶水路红星美凯龙广场夜间广场舞、萨克斯风扰民的事宜，去年也提过，但似乎总是石沉大海。但还想做一下补充，首先这些中老年人跳舞的时间是夜间19点到22点15分左右，离居民区100米不到，噪音分贝最高可达110，警察无理劝解，也无约束手段。其实房子是死的，人是活的，这些中老年人完全可以往沪太路方向移动200米，就互不干扰了。警方往往来了忠厚，说两句就走了，一不尽力二也束手无策，这些中老年人倚老卖老（似乎已是社会普遍共识），到底坏人变老，还是这块的确是法律缺失、无法可依。难道年轻人就是生来被中老年人一直抢占社会公共资源、一味退让压榨的吗？
德邦物流损坏货品不理陪欺诈农民,待回复,三农 求助,M***,2018-07-2212:04,尊敬的领导您们好，6月14号从辽宁盘锦寄过来的乳胶床垫单号为:752140268寄过来的时候保价金额是5000，6月17号货品送到后床垫多出破碎弄脏我们是拒收的也拍了照片给了珠海和辽宁的德邦物流当事人，珠海这边的物流人员说要用们联系辽宁那边的王吉云经理电话:13390270920给我们处理这件事情，我们也联系了还互加了微信把破碎的照片发给他看了，他看了之后说要我们先签收还要我们先付快递费:645，承诺说到时候5000和645快递费一起理赔给我们，我当时有电话录音作为证据的。事情过去到今天一个多月不但一分钱没理赔给我们还从没有人给我们来过电话说理赔的事，多次找王经理每次都是说给我们处理一直拖着不理我们也不给理赔，这种态度真的让人很失望，没有办法的情况下只能求助政府部门领导给我们处理，我相信政府领导都会帮我们伸张正义的，感谢您们！！！
孩子卡介苗不良反应求助,上海市卫生和计划生育委员会,医疗 投诉,W***,2018-07-2212:04,孩子上海人，出生在浦东妇幼，出生的时候严重黄疸但是依然打了卡介苗。3岁的时候发现，经市肿瘤医院穿刺后，又经公共卫生中心卢水华主任诊断为卡介苗不良反应。其他患者家属都表示向区属地段医院可以直接报销。我们向联洋地段医院汇报的时候地段医院表示等治疗完全结束再报。等一年后治疗结束，地段医院有表示，需要宝贝给浦东妇幼，百般推诿，我完全不知道向谁申报。这一年我们非常辛苦，为此我还辞了职，经常跑医院，早上4-5天挂号，不分寒暑。抗结核药的不良作用，吃在娃嘴里，伤透了父母的心！请问我们去何处报销这约2万的治疗费用？请问我们能否豁免上海升学的小白卡？目前其他的疫苗都是国产疫苗，我们拒绝接种。必须由负责的政府，才有资格要求家长让孩子接种疫苗。
交警执法有点违规,上海市公安局,交通 投诉,王***,2018-07-2117:32,尊敬的李书记您好 虹口区天潼路与淞沪路交叉口东南处有2个交警和几个街道社保人员对骑行单车和电车的过路人拦截罚款 由于天潼路与淞沪路东南处人行道上被修管道的占用 往东行人行道不能通过而过路人只有从路口通过 这些执行人员利用行人走机动车道的违规被罚(50元一100元)而且过路被罚人不满或逃脱争论反被袭警罪带到派出所 而且从乍浦跆沿着天演路向东行到淞沪路这个一百米之间还禁止单车通行被罚 望领导觉得适合过路人或市民的民意吗
上海公共户的户籍证明难办,待回复,政务 求助,l***,2018-07-2117:20,书记，您好！我是一名上海交大毕业后落户上海的硕士研究生，最近婚期临近需要户籍证明来领取结婚证，结果发现现在我市浦东新区规定公共户开具户籍证明需要出示房屋租赁备案，而房屋租赁备案需要房东同去房产交易中心办理，但是很多房东并不配合租客办理租赁备案，很不幸我的房东是其中之一，作为一个自然人我无法强迫房东为我办理备案，导致我一个唐唐正正持有上海户口的市民居然连领取结婚证都成为难事。因此只能求助书记过问此事，烦请百忙中核查下该政策是否过于偏颇？公共户口是我市引进人才后的集中解决他们户口管理的重要方式，但是如此以繁代简地进行管理是否符合中央减政放权的方针？书记应该深知我市房价并不低，长期无房需要以公共户身份生活的市民们也应该不在少数，而该政策造成了他们在生活中需要户籍证明时陷入了和房东和派出所以及居委会长时间的纠缠之中。耗费了他们很多的时间和精力，甚至造成了家不成家的局面。
秒白条暴力催收，骚扰通讯录！,待回复,金融 投诉,甜***,2018-07-2117:13,他们不知道在哪里弄得我的号码！打我家人电话！导致家庭破解！！！
互联网金融平台《统逸资产》失联，且至今未回款,待回复,金融 投诉,郭***,2018-07-2116:12,市委书记你好，我爱人在互联网金融平台注册统逸资产，注册手机号为……，2018年6月16日投资2.5万元，到期时间为7月16日，到期后互联网金融平台至今未回款，且平台联系中断，我们的血汗钱得不到保障，请市委书记为我们主持公道，讨回血汗钱
请为夜间娱乐、锻炼的中老年人开辟固定活动场点,上海市宝山区人民政府,环保 建言,安***,2018-07-2111:10,李书记您好：我是家住上海市沪太路汶水路的居民，我家对面是红星美凯龙广场。我在此居住了9年，晚上一直安安静静。但是近期一群中老年人的到来打破了往日的宁静，他们有跳广场舞的、有吹萨克斯风的，一般要尽兴2、3个小时，原本我们住的地方由于靠马路边，白天已经够嘈杂了，晚间还能安静地休息，但是现在基本上一天到晚除了睡觉的几个小时，都很嘈杂。也通过警力的协调，希望他们能往边上去点， 至少不要直面100米不到的居民大楼，但是现在社会上的中老年人有些劣根性还是很强的，警察协调也起作用。我们居住的房屋是不能移动的，但是人是可以移动的，只要他们往沪太路方向挪一百米，也相安无事，可是自从他们占领了这块广场，就变成了“地头蛇”，实在是对年轻人的再次打压！所以政府是否可以出具明文规定，对这些夜间活动加以明确规范以及惩戒措施，并且设立一些固定场点，供他们娱乐。
聚财猫还款逾期，我的所有血汗钱,待回复,金融 求助,W***,2018-07-2018:55,书记你好！去年开始我在聚财猫上投资，18号聚财猫宣布因借款方无力还款，还款逾期，公司宣布良性退出，我全部的积蓄还在里面没出来呢！求书记重视，让有关部门帮我们把血汗钱追回来！谢谢
聚财猫P2P平台良性退出，政府部门应该监督,待回复,金融 投诉,胡***,2018-07-2014:27,我是平台的投资者，7月18平台宣布良性退出，到期产品不能兑现，老总说已报备，至今详细情况不知，400多万投资者的血汗钱，望领导关心一下并责令下属监督。谢谢！！！
500亿聚财猫突然宣布无法经营，辛苦钱都没得,待回复,金融 求助,w***,2018-07-2014:21,7.17还宣称4年庆活动，刚刚把辛苦的工资放入，7.18凌晨0点就公告无法经营。一时间个人生活被打乱，无法正常工作。肯求不要让其经营者卷款跑路，保护人民生命财产安全。
聚财猫受害人泣血求助,待回复,金融 求助,钱***,2018-07-2014:19,我们夫妻都是普通工薪阶层，双方父母是农民，上有老下有小，一家人幸幸苦苦积攒多年的钱，全部被套在里面的！如果回不来会闹到妻离子散！！！为何政府可以放任这样资质不够的借贷平台在市场上大肆宣传他们的可靠性！谁来保证我们的财产安全！！！！！！！！求求上海当局给予帮助
斐讯和联壁骗走了我的血汗钱,待回复,金融 求助,2***,2018-07-2014:17,斐讯成立联壁，从联壁捞钱供自己公司周转，骗完大家钱，让联壁跑路，对外说自己和联壁无关
